year,total_rooms,bedrooms,n_weeks_old,living_area,other_area,total_area,monthly_contrib,n_photos,n_photos_360,other_indoor_space,located_on,own_ground,flg_missing_year,flg_missing_total_rooms,flg_missing_bedrooms,flg_missing_n_weeks_old,flg_missing_living_area,flg_missing_other_area,flg_missing_total_area,flg_missing_monthly_contrib,flg_missing_n_photos,flg_missing_n_photos_360,flg_missing_type_of_construction,flg_missing_other_indoor_space,flg_missing_located_on,flg_missing_own_ground,living_area**2,living_area*n_photos,living_area*own_ground,sqrt(living_area)*year**3,living_area**3*monthly_contrib,flg_missing_total_area*living_area,flg_missing_n_weeks_old*living_area**2,flg_missing_monthly_contrib*living_area,flg_missing_type_of_construction*own_ground,flg_missing_own_ground*flg_missing_total_rooms,flg_missing_type_of_construction*sqrt(n_photos),flg_missing_monthly_contrib*flg_missing_other_area,living_area*total_rooms,sqrt(located_on)*own_ground,flg_missing_located_on*living_area,flg_missing_n_photos_360*living_area,flg_missing_other_indoor_space*living_area**2,flg_missing_monthly_contrib*flg_missing_n_photos,flg_missing_own_ground*living_area**2,flg_missing_other_indoor_space*living_area,flg_missing_other_area*located_on,flg_missing_n_weeks_old*living_area,flg_missing_other_area*living_area**2,flg_missing_living_area*year**3,flg_missing_own_ground*n_photos,flg_missing_other_area*living_area,flg_missing_n_photos*living_area**3,flg_missing_n_photos_360*flg_missing_other_indoor_space,id,price_category,zipcode,type_of_construction,energy_label
1940.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7301384000.0,0.0,0.0,0.0,1.0,38,100K-150K,3083,Bestaande bouw,G
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39,< 100K,3083,0,n
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40,< 100K,3055,Bestaande bouw,n
1979.0,4.0,3.0,0.0,126.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,15876.0,4536.0,126.0,87000681620.04253,0.0,126.0,15876.0,126.0,0.0,0.0,0.0,1.0,504.0,0.0,126.0,126.0,15876.0,0.0,0.0,126.0,0.0,126.0,15876.0,0.0,0.0,126.0,0.0,1.0,41,200K-300K,3069,Bestaande bouw,C
1986.0,3.0,2.0,4.0,70.0,7.0,0.0,76.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4900.0,1680.0,0.0,65537029442.10971,26068000.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,70.0,4900.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42,100K-150K,3067,Bestaande bouw,C
1887.0,3.0,2.0,0.0,161.0,0.0,0.0,347.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25921.0,4025.0,161.0,85256723547.96323,1448128507.0,161.0,25921.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,161.0,25921.0,0.0,0.0,161.0,0.0,161.0,25921.0,0.0,0.0,161.0,0.0,1.0,44,> 300K,3014,Bestaande bouw,n
2017.0,5.0,3.0,0.0,144.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20736.0,1296.0,0.0,98468866956.0,0.0,144.0,20736.0,144.0,0.0,0.0,0.0,1.0,720.0,0.0,144.0,144.0,20736.0,0.0,20736.0,144.0,0.0,144.0,20736.0,0.0,9.0,144.0,0.0,1.0,45,> 300K,3061,Nieuwbouw,A
1956.0,0.0,0.0,0.0,60.0,4.0,8.0,145.0,0.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3600.0,0.0,60.0,57967180442.396,31320000.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,216000.0,0.0,46,150K-200K,3031,Bestaande bouw,E 
1894.0,3.0,2.0,0.0,96.0,0.0,0.0,80.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9216.0,2880.0,96.0,66569537633.8768,70778880.0,96.0,9216.0,0.0,0.0,0.0,0.0,0.0,288.0,1.0,0.0,96.0,9216.0,0.0,0.0,96.0,1.0,96.0,9216.0,0.0,0.0,96.0,0.0,1.0,47,150K-200K,3035,Bestaande bouw,D
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48,< 100K,3011,Bestaande bouw,n
