year,total_rooms,bedrooms,n_weeks_old,living_area,other_area,total_area,monthly_contrib,n_photos,n_photos_360,other_indoor_space,located_on,own_ground,flg_missing_year,flg_missing_total_rooms,flg_missing_bedrooms,flg_missing_n_weeks_old,flg_missing_living_area,flg_missing_other_area,flg_missing_total_area,flg_missing_monthly_contrib,flg_missing_n_photos,flg_missing_n_photos_360,flg_missing_type_of_construction,flg_missing_other_indoor_space,flg_missing_located_on,flg_missing_own_ground,bedrooms**2,bedrooms**3,n_photos**3,located_on**3,living_area**2,total_rooms**3,sqrt(other_area),sqrt(located_on),monthly_contrib**2,sqrt(other_indoor_space),other_indoor_space**3,other_area**2,total_area**3,id,price_category,zipcode,type_of_construction,energy_label
1887.0,3.0,2.0,0.0,161.0,0.0,0.0,347.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,15625.0,0.0,25921.0,27.0,0.0,0.0,120409.0,0.0,0.0,0.0,0.0,44,> 300K,3014,Bestaande bouw,n
2017.0,5.0,3.0,0.0,144.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,27.0,729.0,0.0,20736.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,> 300K,3061,Nieuwbouw,A
1956.0,0.0,0.0,0.0,60.0,4.0,8.0,145.0,0.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,3600.0,0.0,2.0,2.23606797749979,21025.0,2.0,64.0,16.0,512.0,46,150K-200K,3031,Bestaande bouw,E 
1894.0,3.0,2.0,0.0,96.0,0.0,0.0,80.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,27000.0,1.0,9216.0,27.0,0.0,1.0,6400.0,0.0,0.0,0.0,0.0,47,150K-200K,3035,Bestaande bouw,D
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,< 100K,3011,Bestaande bouw,n
1928.0,3.0,2.0,8.0,91.0,9.0,0.0,0.0,30.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,27000.0,0.0,8281.0,27.0,3.0,0.0,0.0,3.0,729.0,81.0,0.0,49,150K-200K,3079,Bestaande bouw,F
1950.0,0.0,0.0,0.0,56.0,15.0,8.0,90.0,0.0,0.0,15.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3136.0,0.0,3.872983346207417,1.7320508075688772,8100.0,3.872983346207417,3375.0,225.0,512.0,50,< 100K,3082,Bestaande bouw,D 
1965.0,6.0,5.0,0.0,132.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,25.0,125.0,54872.0,0.0,17424.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,200K-300K,3067,Bestaande bouw,D
2004.0,5.0,4.0,0.0,135.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,64.0,54872.0,0.0,18225.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,> 300K,3059,Bestaande bouw,B
1927.0,6.0,5.0,16.0,163.0,8.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,25.0,125.0,74088.0,0.0,26569.0,216.0,2.8284271247461903,0.0,0.0,0.0,0.0,64.0,0.0,54,200K-300K,3082,Bestaande bouw,G
